기준년월,HSK품목코드,수출입구분코드,수산물수출입품목명,수출입구분명,당월수출입중량(킬로그램),당월수출입미화금액(달러),당해누계수출입중량(킬로그램),당해누계수출입미화금액(달러)
Jul-23,308901090,I,수생무척추동물의 기타(산 것),수입,14632,253125,134752,2176993
Jul-23,308902010,I,우렁쉥이(냉동한 것),수입,900,3270,900,3270
Jul-23,308904000,I,수생무척추동물의 기타(염장 또는 염수장한 것),수입,0,0,25517,65395
Jul-23,309100000,I,식용어류분,수입,6704,73619,17428,156752
Jul-23,309901000,I,식용어류분,수입,5,154,72305,234636
Jul-23,309902000,I,식용어류분,수입,44150,351988,149183,1380252
Jul-23,309909000,I,식용어류분,수입,18,195,1250,36041
Jul-23,508001000,I,산호(coral),수입,0,0,32135,18516
Jul-23,508002010,I,진주패각,수입,0,0,13277,241739
Jul-23,508002020,I,청패각(전복),수입,0,0,11450,96974
Jul-23,508002030,I,첩패각과 지첩패각,수입,175234,155610,2476678,2010033
Jul-23,508002040,I,야광패각(소라),수입,9500,22377,104700,227434
Jul-23,508002070,I,민물패각,수입,0,0,1,11
Jul-23,508002090,I,기타패각,수입,1073609,215563,7042344,1311560
Jul-23,508009000,I,연체동물/갑각류/극피동물,수입,25864,27986,116406,112913
Jul-23,511911010,I,부화용알(브라인슈림프알),수입,2041,178197,48282,2582763
Jul-23,511911090,I,부화용알(브라인슈림프 알 이,수입,19,19499,179,89917
Jul-23,511912000,I,어류의웨이스트,수입,144580,188874,1156682,1945529
Jul-23,511919000,I,어류/갑각류/연체동물/수행동,수입,20035,37805,333961,548606
Jul-23,511996000,I,동물성의해면,수입,1188,49056,5215,253217
Jul-23,1212211010,I,김(건조한 것)(식용의 것),수입,36,206,26943,375688
Jul-23,1212211090,I,김(기타)(식용의 것),수입,34,233,284,3182
Jul-23,1212212010,I,미역(건조한 것)(식용의 것),수입,28322,291136,175577,1464256
Jul-23,1212212020,I,미역(염장한 것)(식용의 것),수입,157470,315882,933037,1899116
Jul-23,1212212090,I,미역(기타)(식용의 것),수입,5,229,33,2707
Jul-23,1212213010,I,톳(건조한 것)(식용의 것),수입,0,0,13714,130010
Jul-23,1212213090,I,톳(기타)(식용의 것),수입,0,0,1,12
Jul-23,1212214010,I,파래(건조한 것)(식용의 것),수입,0,0,0,11
Jul-23,1212214090,I,파래(기타)(식용의 것),수입,0,0,10,1960
Jul-23,1212215010,I,다시마(염장한 것)(식용의 것),수입,1,22,23,359
Jul-23,1212215030,I,다시마(냉동한 것)(식용의 것),수입,1033,2558,1033,2558
Jul-23,1212215090,I,다시마(기타)(식용의 것),수입,9,228,179,2866
Jul-23,1212216090,I,우뭇가사리(기타)(식용의 것),수입,107211,284273,269274,727491
Jul-23,1212217019,I,기타,수입,0,0,46200,323400
Jul-23,1212218029,I,진두발(기타)(식용의 것),수입,1,87,23139,87363
Jul-23,1212218031,I,말(냉동)(식용의 것),수입,90,622,900,6731
Jul-23,1212218039,I,말(기타)(식용의 것),수입,0,0,2280,3397
Jul-23,1212219019,I,코토니 및 스피노잠(기타)(식용의 것),수입,144964,310876,3781404,5167142
Jul-23,1212219099,I,해초류와 기타조류 기타(기타)(식용의 것),수입,24503,123984,591602,1542243
Jul-23,1212291090,I,김(기타),수입,2,16,28,278
Jul-23,1212292010,I,미역(냉동한 것),수입,0,16,7,53
Jul-23,1212292090,I,미역(기타),수입,49202,99793,71492,150308
Jul-23,1212293090,I,톳(기타),수입,0,0,1,39
Jul-23,1212294090,I,파래(기타),수입,24000,45400,32450,61782
Jul-23,1212295090,I,다시마(기타),수입,1,14,14283,14097
Jul-23,1212298019,I,도박(기타),수입,0,0,0,2
Jul-23,1212298029,I,진두발(기타),수입,11,477,11,477
Jul-23,1212298039,I,말(기타),수입,0,0,3068,6777
Jul-23,1212299091,I,해초류와 기타조류 기타(냉동,수입,0,0,1,12
Jul-23,1212299099,I,해초류와 기타조류 기타(기타),수입,137,3721,37859,85076
Jul-23,1302311000,I,실한천,수입,800,11609,8180,135819
Jul-23,1302312000,I,분한천,수입,11275,190936,237010,3803689
Jul-23,1302319000,I,한천(실한천/분한천 이외 기타),수입,63,10455,6047,263768
Jul-23,1504101000,I,상어의 간유(肝油)와 그 분획물,수입,0,0,23485,214055
Jul-23,1504109000,I,어류의간유/분획물(상어의간유,수입,410,27627,2364,181130
Jul-23,1504200000,I,어류의 지방과 기름 및 그 분획물[간유(肝油)는 제외한다],수입,866255,2533756,3279205,9202337
Jul-23,1504309000,I,기타해서포유동물의 유지와 그,수입,16,583,71,1946
Jul-23,1516102000,I,고래기름/분획물(수소 첨가/,수입,0,0,4,52
Jul-23,1521901000,I,경납(동물성 납),수입,0,0,2020,14825
Jul-23,1603003000,I,어류의액스,수입,1440,15475,20054,228407
Jul-23,1603004000,I,어류의즙,수입,36,1870,24032,24523
Jul-23,1603009000,I,갑각류/연체동물/수생동물의,수입,38022,143534,210838,1342491
Jul-23,1604111000,I,연어(조제/밀폐용기에 넣은 것),수입,949,8579,9199,70788
Jul-23,1604119000,I,연어(조제/밀페용기에 넣은 것 이외 기타),수입,5815,85802,28524,472616
Jul-23,1604121000,I,청어(밀폐용기에넣은것),수입,24,108,27029,163685
Jul-23,1604129000,I,청어(통조림외조제품),수입,0,6,857,29505
Jul-23,1604131000,I,정어리(밀폐용기에넣은것),수입,8892,22282,72379,198733
Jul-23,1604139000,I,정어리(통조림외조제품),수입,77,1979,443,10312
Jul-23,1604141011,I,다랭이(기름담금),수입,112,1908,35672,191194
Jul-23,1604141012,I,다랭이(보일드),수입,12,345,5190,32493
Jul-23,1604141019,I,다랭이류(다랭이/ 가다랭이 이외 기타/조제/밀폐용기에 넣은 것),수입,35509,261807,175493,1016642
Jul-23,1604141021,I,다랭이류(조제/밀폐용기에 넣은 것 이외 기타),수입,242501,993371,1026121,3902104
Jul-23,1604141029,I,가다랭이(기타),수입,7,329,265598,911868
Jul-23,1604141031,I,버니토우(기름담근것(밀폐용기,수입,18048,52125,54144,155268
Jul-23,1604141039,I,버니토우(기타),수입,12,194,3213,26416
Jul-23,1604149000,I,다랭이류(조제/밀폐용기에 넣은 것 이외 기타),수입,86065,486415,898102,4811034
Jul-23,1604151000,I,고등어(조제/밀폐용기에 넣은 것),수입,16135,75250,317256,1519868
Jul-23,1604159000,I,고등어(조제/밀폐용기에 넣은 것 이외 기타),수입,1266,11001,8151,78684
Jul-23,1604161000,I,멸치(조제/밀폐용기에 넣은 것),수입,4709,83518,32801,538519
Jul-23,1604169000,I,전갱이(조제/밀폐용기에 넣은 것 이외 기타),수입,79,6083,16154,203013
Jul-23,1604171000,I,뱀장어(조제 또는 저장처리)(밀폐용기에 넣은 것),수입,1601,22257,31211,557334
Jul-23,1604179000,I,뱀장어(조제 또는 저장처리),수입,96591,1454093,809471,14058052
Jul-23,1604180000,I,상어지느러미/ 기타조제저장처리상어지느러미(밀폐용기에넣은것 포함/ 밀폐용기이외),수입,0,0,14126,1602773
Jul-23,1604191010,I,꽁치(통조림외조제품),수입,46,410,91,956
Jul-23,1604191020,I,전갱이(밀폐용기에넣은것),수입,19911,61297,46054,147794
Jul-23,1604191090,I,어류조제품(연어/청어/정어리/고등어 등 밀폐용기에넣은것),수입,3698,181645,68196,494217
Jul-23,1604199010,I,쥐치포(조제/밀페용기 이외 기타),수입,378767,3478274,3019733,26690926
